x (Molar Fraction),Molar Volume (cm³/mol),"Shear Velocity (vS, m/s)","Bulk Modulus (B, GPa)",Poisson's Ratio (σ),Density (g/cm³),"Hardness (H, GPa)"
0.043208115,46.56540805,4683.444933,114.6265707,0.289262167,2.876147987,10.04807779
0.041016381,45.92957604,4454.625637,102.9303678,0.277318291,3.035105991,8.112603982
0.040491405,43.91461997,4336.785738,107.6035884,0.25985922,3.538845008,9.42149698
0.01600676,43.54988047,4713.057088,104.2472467,0.274022154,3.630029881,8.953802083
0.012614646,45.01213647,4701.080332,100.4012598,0.276557701,3.264465883,8.429948372
0.016835503,45.81048857,4644.230785,109.1032091,0.273688402,3.064877858,8.824922032
0.029955827,43.65268723,4448.268366,120.1624971,0.25891895,3.604328193,11.13081016
0.017554807,46.45026729,4738.608693,122.0706259,0.29992366,2.904933177,10.70158766
0.036346454,43.30787924,4584.548303,110.4842477,0.292496544,3.690530191,9.244602518
0.015225375,45.07666597,4606.582637,123.7319358,0.284822284,3.248333507,11.20797958
0.024942651,45.61178297,4422.579122,102.0017834,0.279777766,3.114554258,8.65766739
0.028153863,45.89522727,4284.515867,111.5156924,0.300342952,3.043693184,9.738393533
0.027893297,43.06088847,4656.652214,118.3342867,0.288588916,3.752277883,10.67925151
0.025930009,45.43354465,4237.814561,123.5380474,0.269652448,3.159113837,11.00319935
0.022468443,45.87074971,4354.221408,111.0944728,0.252760138,3.049812574,9.104993949
0.034301794,46.768857,4768.163404,108.6169185,0.291835871,2.825285751,9.889365359
0.046858309,46.10813343,4317.385798,116.2782943,0.2591509,2.990466642,10.07820517
0.029006835,44.9949928,4680.853134,112.9519085,0.302262766,3.2687518,10.48811174
0.044830138,45.94901221,4695.438804,109.4201794,0.279461211,3.030246949,9.811904689
0.044056998,45.38285476,4744.769702,120.7287035,0.264709044,3.171786311,10.61781175
0.011573742,43.12484447,4228.772183,105.1533191,0.272493591,3.736288883,9.257095272
0.033699739,45.31520216,4963.610113,115.5034605,0.246849316,3.188699459,10.08628176
0.041009382,43.82286967,4547.979872,118.3557661,0.26595208,3.561782583,11.54700771
0.019109989,43.99620946,4503.05835,103.9456163,0.295354614,3.518447634,8.934857604
0.025911738,44.71821508,4623.72849,103.0886223,0.273975908,3.33794623,8.735842055
0.031496678,45.54889408,4328.383876,100.5559747,0.295274161,3.13027648,8.29729785
0.014682681,43.47259277,4137.035738,111.9920968,0.261557063,3.649351808,10.11840616
0.038690475,46.17279294,4252.756254,113.5679771,0.279271952,2.974301764,9.850769832
0.045296655,43.78041125,4716.71139,98.90757929,0.291253618,3.572397187,8.751406581
0.042139237,46.02115532,4330.453132,121.8358213,0.275433644,3.01221117,10.89205232
0.030690762,43.51801939,4143.603989,112.7950465,0.29375605,3.637995152,9.726845953
0.033325209,44.72360982,4612.951073,111.0129513,0.262239357,3.336597544,9.335364089
0.045645725,46.26644237,4180.962589,98.60876445,0.265723095,2.950889408,8.391593064
0.027099588,44.95449454,4410.236636,107.0585547,0.261419692,3.278876366,9.041644432
0.024651455,44.25659906,4891.053933,104.5824498,0.287330425,3.453350235,9.180368764
0.023824807,44.00419896,4503.267527,112.6822194,0.30190589,3.516450259,10.49653062
0.024028473,45.41840053,4700.181277,114.1921197,0.257642347,3.162899868,10.3433812
0.043444708,43.96973559,4391.697943,122.1062337,0.269678076,3.525066102,11.27147876
0.018162576,43.74581022,4625.799608,106.8284594,0.302592891,3.581047445,8.449188994
0.037798805,46.46367844,4829.403556,112.1075639,0.263644076,2.90158039,9.812940204
0.014815126,43.96668309,4630.975057,107.2376796,0.253841208,3.525829227,9.352780055
0.043555923,43.7902611,4684.598473,122.3074858,0.293488718,3.569934725,10.66501148
0.040321617,43.41467238,4595.033485,118.8345472,0.28910063,3.663831906,10.97918683
0.047327717,44.25206901,4700.029784,125.475952,0.254359877,3.454482748,11.3978239
0.038223435,42.99427555,4955.121699,106.9002284,0.289380438,3.768931112,8.652803272
0.033593376,44.47728405,4567.441194,108.4512831,0.254319809,3.398178988,8.567684296
0.035128264,43.04638179,4374.893992,102.0628374,0.272473959,3.755904553,8.285072697
0.016448851,46.64843636,4689.546259,108.1770227,0.2470428,2.855390911,8.641653071
0.049456561,45.80091471,4499.531691,112.5161605,0.260491347,3.067271323,10.04016494
0.029253766,46.13796743,4951.769259,112.3741079,0.257632634,2.983008141,9.310627297
0.037919619,42.86108032,4485.869503,107.8193253,0.260357833,3.802229921,8.876723988
0.044756199,46.69111523,4348.646037,113.9085472,0.304966327,2.844721191,9.365625017
0.020009716,46.03439441,4971.889154,108.1852775,0.26752756,3.008901397,9.85076428
0.046289727,43.64708668,4731.909281,108.5856096,0.257908149,3.605728331,9.038077683
0.017799008,43.37241329,4446.964999,113.1090756,0.284683709,3.674396679,10.11918014
0.034783573,46.40018731,4447.661078,115.567673,0.290040439,2.917453174,11.20658772
0.027707748,46.48560627,4265.164644,119.3487933,0.298706307,2.896098432,10.8842812
0.049555028,43.12638692,4738.859772,114.950744,0.296963195,3.73590327,9.826810775
0.032631262,46.0797607,4484.14435,120.2520987,0.248191729,2.997559826,10.74929872
0.033269466,45.98260956,4596.415191,104.9120394,0.294090575,3.021847611,9.495300204
0.037601876,43.14468048,4531.55926,100.7831179,0.287193316,3.731329879,8.716286095
0.012295674,46.60107497,4829.639683,106.8864964,0.276456036,2.867231258,8.443810871
0.044831887,44.90893364,4431.443241,112.1743141,0.263175403,3.290266589,9.221964983
0.017313511,46.20409923,4535.607372,125.6241832,0.29023421,2.966475191,11.09274062
0.047562708,44.19769888,4693.759134,123.2752985,0.248783319,3.468075281,11.49330938
0.031611976,43.30289353,4624.328502,115.2622535,0.283853658,3.691776619,10.25414478
0.047922131,44.03425718,4345.061196,111.2357725,0.30377738,3.508935705,8.824310273
0.014315657,46.1241613,4387.77866,106.3903332,0.269939869,2.986459675,9.659764932
0.034267573,46.1058916,4470.514469,121.8852428,0.253353837,2.9910271,11.41600989
0.03758107,45.11217512,4242.903932,109.4220295,0.266586649,3.23945622,9.051053117
0.02224957,44.0079096,4431.644678,105.3865711,0.256255572,3.5155226,8.435138345
0.015969979,43.65995561,4821.76657,98.86799874,0.303613163,3.602511098,8.625859539
0.025713563,43.56992124,4745.306499,115.869901,0.259010139,3.625019689,11.19772002
0.04765897,44.29279045,4566.145511,113.7200069,0.293776565,3.444302387,9.538357345
0.042152582,46.42233346,4370.565056,108.0665326,0.295264366,2.911916636,8.578361512
0.032718972,43.58828744,4599.609848,108.9754602,0.304240393,3.620428141,9.871625289
0.039374627,44.26928383,4504.157702,116.5069224,0.268927233,3.450179044,9.989905447
0.031885106,46.77268023,4381.297361,113.1966099,0.28655015,2.824329942,10.07676224
0.04795162,46.11828859,4780.349309,111.4714294,0.252275501,2.987927852,9.471101442
0.03149975,44.37514583,4620.49401,103.0216621,0.29697005,3.423713541,9.286695092
0.031246781,45.14297053,4326.261856,104.2231786,0.291888788,3.231757368,9.157511566
0.048162041,46.37596435,4745.18077,113.6571678,0.288952545,2.923508914,9.912764024
0.012265022,44.09848356,4556.106864,118.7004325,0.280372042,3.492879109,10.90094589
0.012635687,45.01144296,4818.9217,116.2447324,0.287061251,3.26463926,10.93835484
0.040030786,43.06277067,4882.405552,110.9102397,0.275780274,3.751807333,9.106321052
0.015570883,46.1798601,4556.86878,116.081892,0.301578931,2.972534975,10.89789537
0.011027586,46.18161918,4640.93747,106.8701952,0.279164333,2.972095205,8.393210528
0.018355309,45.22736439,4256.754587,112.8762219,0.258501852,3.210658902,10.00664135
0.045626338,43.31712423,4809.972304,113.8924298,0.280459537,3.688218943,10.12627983
0.025819563,44.15448536,4713.871099,113.9562619,0.260864755,3.47887866,10.12839537
0.01993505,42.99314822,4589.022216,121.0062682,0.26848235,3.769212945,11.55471264
0.01651164,46.04479069,4503.712801,114.1393767,0.256908157,3.006302327,10.6393552
0.046656822,44.13702725,4371.641956,112.8717228,0.285399507,3.483243187,10.47354325
0.019789803,43.17609401,4601.245017,106.5743598,0.270668217,3.723476497,8.413487961
0.027964937,44.21705792,4559.198607,111.2062507,0.289514288,3.46323552,9.407448407
0.017751565,43.6052342,4491.44192,113.4187594,0.280862296,3.616191451,10.25192732
0.047285357,43.82163829,4470.504165,105.9759704,0.260746699,3.562090427,8.768893793
0.015087248,45.45135203,4517.324296,113.7051906,0.247018459,3.154661992,10.28375686
0.018047009,45.59388649,4551.017758,104.4897555,0.274448056,3.119028377,9.280604072
0.01467515,44.41992648,4539.486668,105.933376,0.275448467,3.41251838,7.982732792
0.028738449,45.3684771,4336.807807,113.8458068,0.278037419,3.175380725,10.97871501
0.021143614,45.96480063,4526.033382,110.1936645,0.29632799,3.026299842,9.327750331
0.022306203,44.36386146,4695.499275,120.3535006,0.266242855,3.426534635,11.12889236
0.032834121,42.85102709,4547.478291,109.5233312,0.257515029,3.804743229,8.822158702
0.029085855,44.47375046,4735.485776,116.1066173,0.299840732,3.399062385,10.28141923
0.020938981,44.58501213,4477.319711,111.2946171,0.266894457,3.371246967,9.662283636
0.014153575,45.34765759,4592.245939,102.3762844,0.264451381,3.180585602,8.405224176
0.035856295,45.34880202,4439.580758,104.4029742,0.29255055,3.180299495,8.025448078
0.04543911,45.33123695,4716.235301,117.8191754,0.257257269,3.184690763,10.73693491
0.024092355,45.99545102,4391.287178,106.0385918,0.297551826,3.018637246,9.350292792
0.026441139,43.53627948,4334.332525,119.5266352,0.275469683,3.633430131,10.84760045
0.033115645,43.34016549,4854.316904,99.87865271,0.268777127,3.682458629,8.348370051
0.020742487,46.27843169,4805.261022,114.0278149,0.306734029,2.947892079,10.09832336
0.023642654,44.09990601,4730.652682,112.5679272,0.29924635,3.492523499,9.390748101
0.016084171,46.48658554,4933.357432,109.7969798,0.267092922,2.895853616,9.341220516
0.031981181,46.43408201,4865.905799,108.5208757,0.285761842,2.908979497,9.327974238
0.033718034,46.00057349,4873.256496,100.9550894,0.266725041,3.017356628,8.420505154
0.026934321,46.42937723,4963.883829,116.5841415,0.296866116,2.910155692,11.03609049
0.030458702,44.57634784,4534.568049,116.501987,0.244156266,3.373413039,10.94355423
0.042248051,46.25727905,4399.895069,111.1643657,0.246442717,2.953180237,9.938019421
0.021567498,46.60811707,4443.463481,117.392256,0.262270267,2.865470732,11.18249735
0.048915776,45.83552226,4472.720416,111.3393608,0.285955991,3.058619435,9.904781068
0.017674693,45.2652367,4797.970184,127.5110986,0.25250318,3.201190825,11.7026275
0.040873441,45.73938677,4420.36976,117.9731628,0.276521079,3.082653306,11.16614598
0.036779478,43.67830268,4324.87146,103.4451072,0.273618257,3.597924329,8.897905788
0.014379295,43.26560997,4430.91609,116.7840586,0.28929322,3.701097508,10.42503211
0.015113989,46.17323095,4692.565974,99.33060092,0.245270778,2.974192262,8.650615379
0.031251761,43.46415609,4517.742621,113.8559152,0.296217475,3.651460977,10.46901883
0.046368808,45.95428821,4411.158727,115.045235,0.286981035,3.028927947,10.76941806
0.040400222,45.43530378,4659.396525,111.0055469,0.294023908,3.158674056,8.965268084
0.024402396,46.33739306,4749.802827,112.0485476,0.291105362,2.933151734,9.498015567
0.046985672,46.64872931,4775.674125,102.9282474,0.286900869,2.855317672,8.924796551
0.015228693,46.07415112,4207.399422,101.4758657,0.263511458,2.99896222,8.765467188
0.014929898,46.48543387,4315.754502,102.5695212,0.25992928,2.896141532,8.99866861
0.010426805,44.13153392,4546.570142,100.4694842,0.248021188,3.484616519,8.458223825
0.049383036,45.74922082,4520.73217,111.7176802,0.249441338,3.080194796,9.62489004
0.044081937,45.43416821,4201.959533,114.6964989,0.276504434,3.158957948,9.837752685
0.041432339,45.25190498,4355.145313,114.6250275,0.261323818,3.204523756,10.90169153
0.025661028,45.8210427,4616.359238,107.6255762,0.296414479,3.062239326,8.869548377
0.039774728,43.70477216,4884.907914,110.8387479,0.277960654,3.59130696,9.926441467
0.014139003,46.61459009,4272.081073,107.0658486,0.283644469,2.863852477,9.119409682
0.035931901,43.06038777,4703.301783,111.8127066,0.26417246,3.752403056,9.966716088
0.016729463,45.42509436,4781.931846,120.9802307,0.301347676,3.16122641,11.53841251
0.043999015,43.82187463,4591.60751,108.3211325,0.251073536,3.562031343,8.835177386
0.046076644,43.79432396,4614.64043,123.4656075,0.276085486,3.568919011,11.30589792
0.033320746,43.02647819,4332.373377,102.0652191,0.293354192,3.760880451,8.239172829
0.033330096,46.65147178,4391.438729,109.5913313,0.266643572,2.854632055,9.756996604
0.01347947,43.48127941,4489.638205,107.0804878,0.295598191,3.647180146,9.087625675
0.04457733,45.75067304,4314.890714,112.3344907,0.289882401,3.07983174,10.06752093
0.041335489,45.78594289,4508.985891,117.2708567,0.250089391,3.071014278,10.6948559
0.043382872,43.82748345,4387.85828,104.8624991,0.302325904,3.560629139,8.066422538
0.037536201,45.75719863,4140.266479,102.4874214,0.295094742,3.078200343,8.059255156
0.044871343,45.87167156,4441.722959,119.1402737,0.250271623,3.049582111,11.52535187
0.024199852,43.59967778,4335.921788,126.2300962,0.271046205,3.617580556,11.44592902
0.045803407,42.94226361,4182.804716,109.2387608,0.29007527,3.781934099,8.786024839
0.02470834,46.70065586,4378.019233,111.3938845,0.268114455,2.842336034,10.51661152
0.033978446,44.49924593,4306.876198,108.105446,0.259169134,3.392688518,8.632684157
0.048902729,44.1748697,4547.175006,107.9544348,0.248442639,3.473782576,9.21309503
0.010167498,43.62267536,4437.699934,101.0691357,0.272181712,3.61183116,8.482450545
0.010798917,46.69497605,4930.584904,107.3426268,0.273348663,2.843755986,9.903886551
0.040469708,43.67599881,4223.779799,104.2289331,0.244522343,3.598500297,9.198359957
0.018445038,44.4406925,4464.279067,115.9025057,0.247409334,3.407326875,9.66673574
0.024262357,46.51352745,4770.234731,103.2532868,0.297499558,2.889118138,8.543195352
0.046000925,43.42959288,4465.42683,111.7890216,0.257752997,3.66010178,10.27055089
0.047682329,43.95181411,4778.357138,123.1894734,0.303153531,3.529546474,11.64998065
0.030315897,46.18031446,4468.326915,119.8297392,0.289237203,2.972421384,10.45619864
0.023758307,43.7477388,4555.151232,109.2102395,0.298644701,3.5805653,10.13470086
0.023558797,43.53430628,4729.253446,105.4377769,0.295913187,3.633923431,9.566487189
0.037635359,46.34568259,4844.424957,108.055026,0.25757668,2.931079353,10.09321125
0.04410155,44.67391686,4844.735776,103.9970203,0.306452932,3.349020785,8.484030278
0.029466758,43.62490677,4437.169336,109.5837008,0.245837821,3.611273306,9.176470822
0.036500891,44.33736883,4816.478421,121.4080912,0.272522538,3.433157793,11.75465505
0.020534545,45.38163221,4454.569352,105.9679485,0.25557819,3.172091949,8.949398293
0.046258884,45.00373876,4567.938495,106.8592013,0.289519043,3.266565311,8.851862082
0.014850596,43.58738077,4717.749114,119.5473628,0.244159221,3.620654807,11.48863932
0.025837489,43.27181045,4506.122689,109.8064293,0.261447523,3.699547388,9.619630982
0.031859054,43.29024127,4809.767288,107.8647943,0.260899266,3.694939684,9.209695924
0.031956385,44.07920405,4579.521226,105.321692,0.2676874,3.497698989,8.759141791
0.038084298,44.77128369,4816.049714,112.40108,0.274147012,3.324679076,10.65630982
0.021011529,42.92684895,4686.563592,102.5126384,0.270393904,3.785787762,8.681539243
0.016991469,43.79973355,4605.80824,120.3966061,0.291606406,3.567566611,10.40448923
0.015426459,43.58748703,4538.362492,112.338134,0.279305663,3.620628243,9.318197086
0.017305005,45.8528447,4490.302442,118.3394764,0.284734686,3.054288826,11.37046001
0.034172177,43.06195434,4743.965665,118.4567827,0.247374581,3.752011415,11.02905276
0.027732813,44.51728692,4443.739894,116.7729079,0.259370369,3.38817827,11.09923712
0.010393102,44.77603143,4574.854205,102.631042,0.296186873,3.323492143,8.477404976
0.024695629,44.85248199,4639.866647,107.5613993,0.301352601,3.304379504,9.551755636
0.043315744,45.70486221,4314.196109,111.9118694,0.272429167,3.091284447,9.805282676
0.029351876,46.66681001,4333.64799,114.1411842,0.275338922,2.850797498,10.93526705
0.033165192,42.85827925,4826.026886,120.2655867,0.288166769,3.802930187,11.92772833
0.045763655,46.54427783,4477.256956,99.5926376,0.301484022,2.881430542,8.746008286
0.027511091,45.18412012,4398.427526,103.265302,0.30540382,3.221469969,8.586100254
0.048023759,42.84959506,4431.850596,108.3066674,0.296164863,3.805101236,9.464987174
0.014071299,44.45778315,4898.487298,111.1851383,0.268310507,3.403054212,9.613919632
0.026440843,42.94857285,4305.744554,103.756096,0.246089712,3.780356786,9.518645469
0.015876877,46.58141361,4364.239864,121.7969867,0.261353433,2.872146599,10.96038426
0.025190061,43.27068427,4539.746132,123.5059373,0.295151111,3.699828934,11.01090423
0.025940081,44.04414778,4408.743184,108.1723087,0.248552097,3.506463056,9.182156753
0.048303241,45.37988489,4161.249434,104.9544734,0.287953488,3.172528777,8.94327318
0.049295145,43.73365034,4349.155895,122.5822095,0.302928881,3.584087414,10.98917123
0.015747505,42.9645921,4624.797107,104.2961788,0.300272641,3.776351975,8.629987037
0.014394525,45.12743842,4748.34991,113.9552733,0.275613077,3.235640395,9.873470584
0.029442302,44.10641185,4864.105632,100.0801821,0.287507772,3.490897037,8.681210755
0.043592091,45.56335609,4439.477977,106.1526662,0.247397841,3.126660978,9.130795982
0.024886681,46.74132898,4473.408541,125.0019928,0.261204322,2.832167755,11.30964413
0.020496643,43.49338712,4620.946891,108.672858,0.304760426,3.64415322,9.57743792
0.0432369,43.15706857,4588.012862,111.5136335,0.258247265,3.728232857,9.655401667
0.036959768,43.48634821,4226.951013,101.6307141,0.297976255,3.645912949,8.160665941
0.043048695,44.99602491,4413.199009,119.8378995,0.266295276,3.268493773,10.31232673
0.024238311,44.11386778,4549.963279,107.0315473,0.303130968,3.489033054,9.163642367
0.044944741,43.09821936,4559.71694,118.2947469,0.300917096,3.74294516,10.10985668
0.012081834,45.31519007,4831.780346,118.7574871,0.294727195,3.188702484,11.47598825
0.043565864,44.12488396,4267.159159,106.1193792,0.30354134,3.48627901,8.623939454
0.01493274,46.38804472,4483.714192,105.0632642,0.287502153,2.92048882,8.109740522
0.044301224,44.97343386,4241.392707,101.4465701,0.274334249,3.274141536,8.441952904
0.048002479,43.68059664,4625.709349,108.6852167,0.291137808,3.597350839,9.298481854
0.013270361,45.41083252,4711.704711,104.5514119,0.28549669,3.164791869,9.172217657
0.030389043,43.27063819,4288.764572,103.6314545,0.301329444,3.699840451,7.970067078
0.047907447,43.19371038,4388.791725,107.5448779,0.287863934,3.719072404,8.247907632
0.028189594,46.02650447,4741.296974,110.340221,0.249335128,3.010873884,10.05900417
0.046003327,43.49438591,4342.037229,108.7209247,0.261405363,3.643903523,9.418731012
0.044145197,43.01254625,4621.067191,119.1931164,0.266163728,3.764363437,10.94529033
0.025384443,42.85810218,4206.73389,101.4321944,0.301991439,3.802974456,8.142979158
0.027410491,46.03761382,4551.347469,120.4260283,0.254193769,3.008096544,10.81358688
0.046888933,45.94681324,4534.118625,115.3472398,0.264987564,3.030796691,10.69084723
0.014884397,45.30220501,4952.691978,98.42514388,0.27358578,3.191948747,8.512109891
0.047892276,43.65958681,4700.862494,110.3435194,0.286083013,3.602603297,9.884367072
0.014825435,45.19112382,4382.037796,103.8610256,0.297302154,3.219719044,9.298173226
0.04119404,44.55900039,4643.71919,109.0164511,0.254894243,3.377749903,9.316716747
0.010452101,43.74384443,4906.870384,126.0923034,0.254488392,3.581538892,11.68766807
0.016570818,45.78273623,4398.797194,123.9232355,0.250972409,3.071815943,10.92343056
0.015981973,46.77445281,4641.087944,117.1820469,0.25209394,2.823886796,10.9922841
0.048666193,43.67218968,4331.478447,110.495498,0.27550933,3.599452579,10.31310017
0.026104458,44.79784888,4460.499106,107.7882899,0.274080009,3.318037779,9.999615476
0.028327475,44.68265636,4726.108744,102.2388082,0.265710137,3.34683591,8.991815397
0.046781241,44.18977708,4714.844791,113.7512393,0.266155944,3.47005573,10.75851016
0.041760578,44.19172993,4972.087829,108.659399,0.272766121,3.469567516,9.060088455
0.041195022,45.86259007,4912.583114,106.8764834,0.262264631,3.051852481,8.837484506
0.04604632,43.42893931,4447.29935,115.986642,0.298990715,3.660265174,10.73077708
0.020329073,42.86672878,4705.991229,120.5340978,0.268114209,3.800817805,10.48117229
0.035796253,45.08999213,4760.940534,102.2214457,0.274293506,3.245001969,8.466846651
0.029705004,44.97172984,4582.443387,106.9395322,0.257274355,3.274567539,9.480132487
0.026589432,43.37532158,4745.335304,111.1186705,0.245466166,3.673669604,10.19329793
0.036011879,43.99596977,4601.158862,103.4763761,0.2803302,3.518507558,8.886084989
0.019316074,44.62413798,4676.851784,113.2621035,0.280223205,3.361465504,10.39857987
0.014855398,43.36594991,4515.62715,120.1967411,0.270329858,3.676012523,11.23735306
0.045130099,44.52189709,4511.589327,119.2530489,0.28689144,3.387025727,10.84496147
0.011113642,44.70506583,4654.154914,102.3383059,0.272503701,3.341233542,8.677611874
0.024527565,45.04894033,4385.346434,125.6365489,0.291568145,3.255264917,11.40647388
0.012691385,44.3514724,4767.794117,116.556928,0.303816928,3.429631901,10.18596352
0.026646438,45.86065321,4828.734357,111.326482,0.272883854,3.052336698,9.839387682
0.023264674,45.47225569,4509.363267,104.2748747,0.249786101,3.149436078,8.126670982
0.030975611,46.36174207,4405.33371,107.5096575,0.281022999,2.927064483,9.25436639
0.021485518,44.34874174,4819.372721,119.6059245,0.259456285,3.430314565,11.79745883
0.046000746,43.11069924,4252.617089,99.57738419,0.304172705,3.739825189,8.105079086
0.042779827,45.09032531,4461.502614,114.795057,0.250158874,3.244918672,10.14278714
0.04472569,44.87251626,4524.257071,107.968884,0.289360703,3.299370935,8.378113635
0.034726229,45.75056156,4370.965754,118.4025296,0.306044164,3.07985961,11.17336011
0.03550753,45.90686994,4315.401415,120.7817528,0.262131416,3.040782515,11.1518512
0.010212968,43.24184415,4604.746531,107.3176225,0.273378028,3.707038962,8.971444343
0.01844833,45.03023529,4687.346599,109.387612,0.270907218,3.259941176,10.09021958
0.025079447,46.3530743,4361.952919,96.21692028,0.286413728,2.929231426,8.297272596
0.039307962,43.4356942,4763.728678,125.7723717,0.267174375,3.65857645,11.72244273
0.030506709,45.42577265,4641.302098,119.0637774,0.292671576,3.161056837,10.59649839
